»’∆⁄,∆⁄ ˝,,,,∫Ï«Ú_1,∫Ï«Ú_2,∫Ï«Ú_3,∫Ï«Ú_4,∫Ï«Ú_5,¿∂«Ú_1,¿∂«Ú_2
2024-9-21,24110,,,,01,07,08,18,28,04,12
2024-9-18,24109,,,,12,23,26,27,28,03,11
2024-9-16,24108,,,,16,17,21,31,34,03,08
2024-9-14,24107,,,,06,14,16,18,34,03,10
2024-9-11,24106,,,,05,11,19,22,29,02,12
2024-9-9,24105,,,,14,20,21,28,32,09,11
2024-9-7,24104,,,,01,04,09,13,17,06,09
2024-9-4,24103,,,,19,21,29,32,33,06,08
2024-9-2,24102,,,,01,05,09,14,20,05,11
2024-8-31,24101,,,,16,19,22,27,35,06,10
2024-8-28,24100,,,,02,12,19,22,32,05,11
2024-8-26,24099,,,,04,10,24,31,35,05,08
2024-8-24,24098,,,,03,10,15,19,29,09,10
2024-8-21,24097,,,,07,11,12,14,19,02,08
2024-8-19,24096,,,,02,03,23,27,31,01,10
2024-8-17,24095,,,,01,07,19,26,27,03,05
2024-8-14,24094,,,,12,13,24,29,31,02,08
2024-8-12,24093,,,,16,24,26,28,29,08,12
2024-8-10,24092,,,,02,04,25,26,31,01,06
2024-8-7,24091,,,,01,08,11,17,21,01,02
2024-8-5,24090,,,,02,03,06,28,33,07,11
2024-8-3,24089,,,,05,06,29,30,34,07,08
2024-7-31,24088,,,,01,02,23,28,32,03,05
2024-7-29,24087,,,,07,10,20,28,34,05,10
2024-7-27,24086,,,,11,12,14,22,28,07,11
2024-7-24,24085,,,,02,09,16,29,35,01,06
2024-7-22,24084,,,,04,11,16,17,23,05,10
2024-7-20,24083,,,,09,11,12,13,30,07,09
2024-7-17,24082,,,,08,21,23,24,26,04,05
2024-7-15,24081,,,,14,15,25,27,34,01,10
2024-7-13,24080,,,,03,05,24,27,28,09,11
2024-7-10,24079,,,,03,08,17,18,23,06,11
2024-7-8,24078,,,,05,07,10,14,15,04,07
2024-7-6,24077,,,,01,03,25,26,29,06,12
2024-7-3,24076,,,,01,06,22,27,35,07,12
2024-7-1,24075,,,,08,17,26,28,32,01,10
2024-6-29,24074,,,,02,10,11,21,27,09,11
2024-6-26,24073,,,,07,09,12,21,23,05,09
2024-6-24,24072,,,,04,17,21,23,32,01,06
2024-6-22,24071,,,,06,10,15,34,35,02,10
2024-6-19,24070,,,,04,20,21,32,34,02,09
2024-6-17,24069,,,,07,09,16,20,24,03,07
2024-6-15,24068,,,,15,20,31,32,33,05,10
2024-6-12,24067,,,,03,11,14,20,22,06,09
2024-6-10,24066,,,,13,19,20,24,25,06,07
2024-6-8,24065,,,,05,10,18,26,27,03,06
2024-6-5,24064,,,,05,12,21,32,33,08,09
2024-6-3,24063,,,,07,12,16,33,34,01,03
2024-6-1,24062,,,,05,14,15,16,33,03,05
2024-5-29,24061,,,,01,12,19,31,33,05,08
2024-5-27,24060,,,,03,21,25,28,30,01,12
2024-5-25,24059,,,,17,18,20,25,31,03,12
2024-5-22,24058,,,,06,10,13,20,32,01,02
2024-5-20,24057,,,,09,25,30,33,34,03,09
2024-5-18,24056,,,,16,17,18,27,35,06,12
2024-5-15,24055,,,,07,17,22,30,34,05,07
2024-5-13,24054,,,,05,06,09,11,22,01,03
2024-5-11,24053,,,,01,07,19,20,35,03,09
2024-5-8,24052,,,,02,03,13,22,34,04,08
2024-5-6,24051,,,,05,21,22,23,29,01,02
2024-5-4,24050,,,,03,04,14,18,26,07,09
2024-5-1,24049,,,,04,06,09,10,22,01,08
2024-4-29,24048,,,,12,18,21,26,28,08,09
2024-4-27,24047,,,,11,19,21,26,35,10,11
2024-4-24,24046,,,,06,12,17,29,30,07,11
2024-4-22,24045,,,,09,10,14,31,32,03,08
2024-4-20,24044,,,,03,13,15,17,22,06,10
2024-4-17,24043,,,,03,04,08,14,27,05,07
2024-4-15,24042,,,,01,08,15,23,35,05,12
2024-4-13,24041,,,,06,08,14,16,28,03,05
2024-4-10,24040,,,,05,12,16,29,30,03,06
2024-4-8,24039,,,,03,10,11,20,22,06,10
2024-4-6,24038,,,,15,22,24,25,29,01,05
2024-4-3,24037,,,,17,19,20,29,35,07,11
2024-4-1,24036,,,,02,05,11,32,34,06,10
2024-3-30,24035,,,,05,13,17,29,33,05,12
2024-3-27,24034,,,,23,26,27,29,33,05,08
2024-3-25,24033,,,,04,08,10,11,15,07,09
2024-3-23,24032,,,,05,15,26,33,35,01,09
2024-3-20,24031,,,,09,12,15,30,34,05,06
2024-3-18,24030,,,,08,09,11,19,30,06,12
2024-3-16,24029,,,,04,19,24,28,34,04,05
2024-3-13,24028,,,,13,18,20,26,28,04,08
2024-3-11,24027,,,,08,09,16,22,23,07,09
2024-3-9,24026,,,,01,18,21,26,33,02,12
2024-3-6,24025,,,,01,02,08,18,27,04,08
2024-3-4,24024,,,,03,05,12,17,26,01,12
2024-3-2,24023,,,,08,10,12,14,22,05,09
2024-2-28,24022,,,,07,09,11,31,32,04,08
2024-2-26,24021,,,,01,12,16,20,28,07,09
2024-2-24,24020,,,,02,04,08,19,26,02,06
2024-2-21,24019,,,,19,20,26,29,30,03,04
2024-2-19,24018,,,,04,12,19,25,27,01,09
2024-2-7,24017,,,,03,07,25,27,35,01,04
2024-2-5,24016,,,,15,18,25,27,29,06,11
2024-2-3,24015,,,,08,11,14,24,31,05,06
2024-1-31,24014,,,,04,05,16,21,31,09,11
2024-1-29,24013,,,,05,22,25,28,30,03,12
2024-1-27,24012,,,,21,22,25,26,34,01,09
2024-1-24,24011,,,,01,03,27,32,34,01,07
2024-1-22,24010,,,,02,08,10,15,27,02,08
2024-1-20,24009,,,,15,18,19,24,26,05,09
2024-1-17,24008,,,,04,06,11,20,30,03,05
2024-1-15,24007,,,,04,05,28,34,35,04,11
2024-1-13,24006,,,,08,13,16,17,33,02,10
2024-1-10,24005,,,,03,05,07,09,12,05,08
2024-1-8,24004,,,,02,06,18,19,27,08,09
2024-1-6,24003,,,,07,09,12,23,29,01,02
2024-1-3,24002,,,,01,06,08,27,32,03,04
2024-1-1,24001,,,,03,09,17,26,35,02,07
2023-12-30,23150,,,,05,06,17,18,33,11,12
2023-12-27,23149,,,,01,16,17,21,29,01,06
2023-12-25,23148,,,,11,12,20,21,27,02,12
2023-12-23,23147,,,,06,07,19,33,34,03,08
2023-12-20,23146,,,,14,18,19,26,31,02,07
2023-12-18,23145,,,,06,10,12,32,33,06,07
2023-12-16,23144,,,,05,14,18,25,35,01,10
2023-12-13,23143,,,,09,20,23,29,33,02,10
2023-12-11,23142,,,,04,13,15,17,32,10,12
2023-12-9,23141,,,,04,22,25,30,31,04,05
2023-12-6,23140,,,,01,02,09,19,30,01,02
2023-12-4,23139,,,,15,16,25,31,34,05,09
2023-12-2,23138,,,,07,12,20,28,31,09,10
2023-11-29,23137,,,,04,19,21,30,31,06,12
2023-11-27,23136,,,,13,23,27,30,34,06,09
2023-11-25,23135,,,,05,18,22,28,29,09,12
2023-11-22,23134,,,,10,15,22,27,33,01,12
2023-11-20,23133,,,,10,18,25,28,33,05,11
2023-11-18,23132,,,,03,04,12,15,23,02,06
2023-11-15,23131,,,,03,07,21,22,24,06,07
2023-11-13,23130,,,,13,20,27,29,30,01,07
2023-11-11,23129,,,,09,23,25,27,33,06,12
2023-11-8,23128,,,,01,05,07,12,13,02,06
2023-11-6,23127,,,,04,07,08,18,19,02,06
2023-11-4,23126,,,,07,12,17,26,34,02,06
2023-11-1,23125,,,,07,25,26,29,32,02,08
2023-10-30,23124,,,,06,18,23,27,32,06,10
2023-10-28,23123,,,,02,14,16,28,30,02,07
2023-10-25,23122,,,,01,07,09,25,29,10,12
2023-10-23,23121,,,,05,11,15,23,33,01,09
2023-10-21,23120,,,,02,08,16,31,34,01,10
2023-10-18,23119,,,,04,08,10,14,21,04,10
2023-10-16,23118,,,,06,07,13,25,33,05,08
2023-10-14,23117,,,,05,07,15,18,20,03,04
2023-10-11,23116,,,,01,03,09,18,29,04,09
2023-10-9,23115,,,,07,10,23,31,34,02,10
2023-10-7,23114,,,,02,25,27,30,35,01,10
2023-9-30,23113,,,,06,08,30,32,33,03,10
2023-9-27,23112,,,,01,11,17,22,27,02,09
2023-9-25,23111,,,,03,12,15,28,35,02,12
2023-9-23,23110,,,,04,09,11,13,17,07,08
2023-9-20,23109,,,,01,12,21,22,31,02,09
2023-9-18,23108,,,,05,06,17,30,32,02,08
2023-9-16,23107,,,,01,12,15,16,18,03,10
2023-9-13,23106,,,,16,24,26,28,31,01,06
2023-9-11,23105,,,,07,08,19,20,25,02,11
2023-9-9,23104,,,,06,15,16,32,33,08,10
2023-9-6,23103,,,,08,11,19,31,32,08,11
2023-9-4,23102,,,,02,04,07,16,33,07,11
2023-9-2,23101,,,,06,14,16,17,28,07,10
2023-8-30,23100,,,,04,06,13,19,35,09,11
2023-8-28,23099,,,,09,11,13,22,23,06,07
2023-8-26,23098,,,,02,07,15,30,34,05,09
2023-8-23,23097,,,,06,07,18,20,22,03,09
2023-8-21,23096,,,,06,07,14,21,31,03,10
2023-8-19,23095,,,,08,19,28,32,34,03,07
2023-8-16,23094,,,,12,19,22,28,32,08,12
2023-8-14,23093,,,,11,14,17,19,21,01,05
2023-8-12,23092,,,,03,16,21,26,32,03,12
2023-8-9,23091,,,,06,16,18,28,29,07,11
2023-8-7,23090,,,,08,11,12,19,35,11,12
2023-8-5,23089,,,,03,12,20,26,35,02,12
2023-8-2,23088,,,,08,14,16,22,24,09,12
2023-7-31,23087,,,,03,04,16,19,24,04,05
2023-7-29,23086,,,,03,11,15,20,35,07,11
2023-7-26,23085,,,,11,12,26,31,35,05,07
2023-7-24,23084,,,,03,05,08,24,32,07,08
2023-7-22,23083,,,,13,15,21,25,32,09,10
2023-7-19,23082,,,,02,08,09,15,20,03,09
2023-7-17,23081,,,,05,06,23,28,35,07,10
2023-7-15,23080,,,,01,02,09,16,30,01,11
2023-7-12,23079,,,,06,08,26,29,34,05,08
2023-7-10,23078,,,,02,03,06,26,27,07,08
2023-7-8,23077,,,,05,16,18,26,35,03,06
2023-7-5,23076,,,,08,09,11,26,34,02,07
2023-7-3,23075,,,,07,17,20,23,32,05,11
2023-7-1,23074,,,,03,13,22,29,34,02,09
2023-6-28,23073,,,,15,25,28,30,35,08,10
2023-6-26,23072,,,,05,06,09,11,14,02,04
2023-6-24,23071,,,,02,11,12,32,34,10,12
2023-6-21,23070,,,,10,26,29,32,33,03,11
2023-6-19,23069,,,,08,20,21,25,32,05,07
2023-6-17,23068,,,,21,22,24,27,31,07,08
2023-6-14,23067,,,,02,28,30,33,35,02,10
2023-6-12,23066,,,,06,11,13,30,32,01,03
2023-6-10,23065,,,,08,14,16,21,25,03,12
2023-6-7,23064,,,,02,06,09,31,32,03,07
2023-6-5,23063,,,,04,18,29,31,34,06,09
2023-6-3,23062,,,,06,08,22,24,30,01,08
2023-5-31,23061,,,,07,11,21,30,32,05,07
2023-5-29,23060,,,,02,07,19,24,30,09,12
2023-5-27,23059,,,,09,13,23,25,28,04,07
2023-5-24,23058,,,,19,22,29,32,35,05,08
2023-5-22,23057,,,,01,05,06,19,24,05,11
2023-5-20,23056,,,,13,22,24,33,34,01,02
2023-5-17,23055,,,,06,08,12,13,15,01,06
2023-5-15,23054,,,,19,25,30,31,34,07,09
2023-5-13,23053,,,,01,03,11,14,20,02,11
2023-5-10,23052,,,,02,08,11,30,33,05,08
2023-5-8,23051,,,,03,11,19,29,33,03,12
2023-5-6,23050,,,,08,09,14,25,29,04,06
2023-5-3,23049,,,,03,17,22,26,28,07,12
2023-5-1,23048,,,,07,13,16,25,32,09,11
2023-4-29,23047,,,,10,12,13,24,25,11,12
2023-4-26,23046,,,,13,21,25,28,32,02,10
2023-4-24,23045,,,,07,10,13,28,31,04,05
2023-4-22,23044,,,,02,06,07,08,15,07,10
2023-4-19,23043,,,,02,04,17,20,27,01,08
2023-4-17,23042,,,,02,16,21,23,27,01,08
2023-4-15,23041,,,,05,08,13,26,35,05,09
2023-4-12,23040,,,,04,05,18,22,30,05,12
2023-4-10,23039,,,,02,24,26,30,34,06,07
2023-4-8,23038,,,,04,10,18,27,32,10,12
2023-4-5,23037,,,,06,08,16,20,24,07,08
2023-4-3,23036,,,,01,13,22,26,31,02,10
2023-4-1,23035,,,,07,14,23,25,29,02,11
2023-3-29,23034,,,,07,09,10,15,24,04,12
2023-3-27,23033,,,,04,06,10,11,25,07,09
2023-3-25,23032,,,,05,06,18,28,30,02,07
2023-3-22,23031,,,,05,07,08,16,25,03,11
2023-3-20,23030,,,,06,11,12,20,35,05,12
2023-3-18,23029,,,,07,25,27,34,35,09,11
2023-3-15,23028,,,,01,03,29,30,34,04,12
2023-3-13,23027,,,,09,10,12,15,23,03,06
2023-3-11,23026,,,,02,13,24,27,30,01,06
2023-3-8,23025,,,,03,09,27,30,31,11,12
2023-3-6,23024,,,,11,15,24,27,30,01,10
2023-3-4,23023,,,,09,21,23,25,33,03,10
2023-3-1,23022,,,,07,11,15,26,28,08,10
2023-2-27,23021,,,,02,09,18,23,27,03,05
2023-2-25,23020,,,,05,06,23,25,28,06,09
2023-2-22,23019,,,,05,08,09,11,15,06,08
2023-2-20,23018,,,,04,08,17,26,30,03,11
2023-2-18,23017,,,,02,05,09,22,27,10,11
2023-2-15,23016,,,,02,04,12,31,32,07,11
2023-2-13,23015,,,,08,16,24,25,34,08,12
2023-2-11,23014,,,,03,08,18,22,24,01,09
2023-2-8,23013,,,,01,02,09,23,25,02,06
2023-2-6,23012,,,,07,16,17,18,28,02,03
2023-2-4,23011,,,,02,07,08,17,25,01,03
2023-2-1,23010,,,,05,06,13,23,26,01,06
2023-1-30,23009,,,,01,05,11,15,33,01,10
2023-1-18,23008,,,,04,09,17,22,25,01,05
2023-1-16,23007,,,,02,03,24,30,32,01,06
2023-1-14,23006,,,,02,04,12,27,35,06,07
2023-1-11,23005,,,,01,03,10,20,29,06,11
2023-1-9,23004,,,,04,13,15,20,22,04,08
2023-1-7,23003,,,,05,06,14,21,22,02,09
2023-1-4,23002,,,,11,14,21,26,27,02,07
2023-1-2,23001,,,,18,19,24,27,34,11,12
2022-12-31,22150,,,,06,07,26,29,30,03,12
2022-12-28,22149,,,,15,19,22,26,28,02,07
2022-12-26,22148,,,,04,05,06,26,27,07,12
2022-12-24,22147,,,,04,12,22,28,30,09,11
2022-12-21,22146,,,,01,21,23,28,35,07,09
2022-12-19,22145,,,,10,20,29,30,35,06,09
2022-12-17,22144,,,,03,04,08,15,21,04,07
2022-12-14,22143,,,,10,13,14,27,33,07,08
2022-12-12,22142,,,,07,12,14,29,35,01,11
2022-12-10,22141,,,,05,06,14,24,25,02,04
2022-12-7,22140,,,,05,15,25,26,29,04,12
2022-12-5,22139,,,,01,13,14,22,35,02,05
2022-12-3,22138,,,,05,13,16,27,33,07,12
2022-11-30,22137,,,,05,06,08,15,20,07,08
2022-11-28,22136,,,,01,11,15,17,33,03,11
2022-11-26,22135,,,,09,10,27,31,32,01,03
2022-11-23,22134,,,,03,16,23,27,32,03,06
2022-11-21,22133,,,,01,02,14,30,31,06,09
2022-11-19,22132,,,,02,27,30,34,35,09,12
2022-11-16,22131,,,,02,06,08,10,17,05,06
2022-11-14,22130,,,,05,07,15,18,23,05,10
2022-11-12,22129,,,,10,17,23,34,35,01,04
2022-11-9,22128,,,,10,19,21,23,35,04,10
2022-11-7,22127,,,,02,03,08,09,20,04,10
2022-11-5,22126,,,,04,05,08,22,35,01,03
2022-11-2,22125,,,,03,07,14,16,19,01,11
2022-10-31,22124,,,,02,04,11,25,30,06,12
2022-10-29,22123,,,,02,20,28,29,30,07,10
2022-10-26,22122,,,,04,15,17,19,25,06,12
2022-10-24,22121,,,,04,15,16,20,21,04,05
2022-10-22,22120,,,,11,22,26,30,33,03,05
2022-10-19,22119,,,,01,09,16,25,29,04,09
2022-10-17,22118,,,,02,05,15,17,26,02,08
2022-10-15,22117,,,,09,12,15,21,32,02,07
2022-10-12,22116,,,,01,07,20,22,31,07,12
2022-10-10,22115,,,,17,19,20,23,27,03,08
2022-10-8,22114,,,,11,21,24,27,28,05,10
2022-10-5,22113,,,,13,15,22,31,33,05,12
2022-9-28,22112,,,,04,11,18,20,26,06,12
2022-9-26,22111,,,,06,12,16,19,31,06,10
2022-9-24,22110,,,,02,13,16,18,23,03,06
2022-9-21,22109,,,,05,09,24,29,35,05,12
2022-9-19,22108,,,,04,07,13,26,28,07,11
2022-9-17,22107,,,,07,09,19,28,29,08,10
2022-9-14,22106,,,,16,17,21,28,32,04,07
2022-9-12,22105,,,,01,08,09,21,22,01,04
2022-9-10,22104,,,,03,05,13,19,25,02,05
2022-9-7,22103,,,,08,12,16,21,32,01,12
2022-9-5,22102,,,,01,05,14,20,30,02,04
2022-9-3,22101,,,,02,04,06,07,08,03,06
2022-8-31,22100,,,,10,19,20,23,31,03,07
2022-8-29,22099,,,,07,18,25,27,33,04,05
2022-8-27,22098,,,,01,03,06,11,13,03,11
2022-8-24,22097,,,,05,13,22,28,29,05,11
2022-8-22,22096,,,,16,19,24,27,33,01,06
2022-8-20,22095,,,,05,08,22,25,35,02,07
2022-8-17,22094,,,,03,04,07,12,19,02,05
2022-8-15,22093,,,,07,11,14,21,29,07,10
2022-8-13,22092,,,,01,04,12,23,29,05,12
2022-8-10,22091,,,,02,11,20,22,34,04,12
2022-8-8,22090,,,,01,20,24,25,31,09,12
2022-8-6,22089,,,,01,20,21,31,33,03,11
2022-8-3,22088,,,,01,08,10,20,35,06,11
2022-8-1,22087,,,,04,06,10,24,28,06,12
2022-7-30,22086,,,,04,10,21,28,31,08,11
2022-7-27,22085,,,,11,16,31,33,35,06,08
2022-7-25,22084,,,,03,11,19,25,27,04,12
2022-7-23,22083,,,,02,09,17,26,32,04,06
2022-7-20,22082,,,,04,26,27,30,33,02,09
2022-7-18,22081,,,,05,10,19,31,32,09,10
2022-7-16,22080,,,,10,17,30,31,34,03,06
2022-7-13,22079,,,,07,10,19,26,32,08,12
2022-7-11,22078,,,,02,03,18,20,27,01,02
2022-7-9,22077,,,,05,10,11,16,19,01,10
2022-7-6,22076,,,,05,17,30,34,35,02,09
2022-7-4,22075,,,,04,12,13,17,18,07,09
2022-7-2,22074,,,,02,06,21,25,28,02,06
2022-6-29,22073,,,,11,18,21,25,32,02,04
2022-6-27,22072,,,,01,12,13,15,30,03,07
2022-6-25,22071,,,,09,15,19,25,29,08,09
2022-6-22,22070,,,,01,07,17,23,35,07,11
2022-6-20,22069,,,,02,03,23,28,35,02,09
2022-6-18,22068,,,,03,06,10,15,23,03,08
2022-6-15,22067,,,,04,14,15,32,33,10,11
2022-6-13,22066,,,,02,24,25,26,34,03,12
2022-6-11,22065,,,,05,10,13,22,28,01,04
2022-6-8,22064,,,,02,19,22,25,35,05,07
2022-6-6,22063,,,,02,03,22,26,31,06,10
2022-6-4,22062,,,,05,09,11,12,31,07,11
2022-6-1,22061,,,,06,09,19,22,30,01,06
2022-5-30,22060,,,,02,06,10,11,20,03,09
2022-5-28,22059,,,,04,15,18,32,34,04,09
2022-5-25,22058,,,,03,04,24,26,35,07,08
2022-5-23,22057,,,,06,12,18,21,35,07,10
2022-5-21,22056,,,,02,11,15,17,31,07,09
2022-5-18,22055,,,,01,02,12,15,23,04,06
2022-5-16,22054,,,,05,16,21,23,34,07,10
2022-5-14,22053,,,,09,17,19,20,25,01,09
2022-5-11,22052,,,,01,13,18,29,35,04,09
2022-5-9,22051,,,,01,16,17,19,33,05,06
2022-5-7,22050,,,,02,10,21,24,30,08,10
2022-5-4,22049,,,,06,10,20,28,35,01,10
2022-5-2,22048,,,,16,22,28,29,32,08,09
2022-4-30,22047,,,,07,10,11,12,33,03,11
2022-4-27,22046,,,,06,07,12,22,27,03,05
2022-4-25,22045,,,,02,03,07,12,20,01,05
2022-4-23,22044,,,,01,02,16,17,20,03,07
2022-4-20,22043,,,,02,16,17,24,30,09,12
2022-4-18,22042,,,,08,10,11,29,32,02,06
2022-4-16,22041,,,,05,15,25,26,33,06,11
2022-4-13,22040,,,,10,19,25,29,33,08,12
2022-4-11,22039,,,,01,08,11,22,31,05,11
2022-4-9,22038,,,,07,09,11,12,26,09,12
2022-4-6,22037,,,,01,09,17,20,28,06,10
2022-4-4,22036,,,,18,19,21,26,34,06,07
2022-4-2,22035,,,,09,11,13,23,31,05,08
2022-3-30,22034,,,,02,10,24,27,28,06,07
2022-3-28,22033,,,,08,15,16,19,33,03,04
2022-3-26,22032,,,,05,09,18,31,32,01,05
2022-3-23,22031,,,,07,14,16,20,28,04,08
2022-3-21,22030,,,,12,14,15,21,30,01,09
